Ward Number	Ward Name	Project #	Prefix	Project Name	Sub-project Name	Year	Budgeted
28	Toronto Centre-Rosedale	FAC906394-301	FAC	Structural/Building Envelope	71 Front W-Union Station SOGR Projects	2021	5000.0
28	Toronto Centre-Rosedale	FAC906394-301	FAC	Structural/Building Envelope	71 Front W-Union Station SOGR Projects	2022	5000.0
28	Toronto Centre-Rosedale	FAC906394-301	FAC	Structural/Building Envelope	71 Front W-Union Station SOGR Projects	2023	5000.0
28	Toronto Centre-Rosedale	FAC906394-88	FAC	Structural/Building Envelope	111 King St E-Repl of Solarium Glazing	2022	32.0
28	Toronto Centre-Rosedale	FAC906394-88	FAC	Structural/Building Envelope	111 King St E-Repl of Solarium Glazing	2023	320.0
28	Toronto Centre-Rosedale	FAC906395-126	FAC	Mechanical and Electrical	91 Front St E- RPL Switchboards and Htg Pumps	2014	288.0
28	Toronto Centre-Rosedale	FAC906395-151	FAC	Mechanical and Electrical	91 Front St - Replace Exhaust Fans	2022	29.0
28	Toronto Centre-Rosedale	FAC906395-151	FAC	Mechanical and Electrical	91 Front St - Replace Exhaust Fans	2023	246.0
28	Toronto Centre-Rosedale	FAC906395-176	FAC	Mechanical and Electrical	157 King St E - Repl of Exhaust Fans	2022	5.0
28	Toronto Centre-Rosedale	FAC906395-176	FAC	Mechanical and Electrical	157 King St E - Repl of Exhaust Fans	2023	50.0
28	Toronto Centre-Rosedale	FAC906395-3	FAC	Mechanical and Electrical	235 Cibola Ave - Unit Heater & Other	2015	50.0
28	Toronto Centre-Rosedale	FAC906395-401	FAC	Mechanical and Electrical	246 The Esplanade-Elevator modernization	2018	6.0
28	Toronto Centre-Rosedale	FAC906395-401	FAC	Mechanical and Electrical	246 The Esplanade-Elevator modernization	2019	374.0
28	Toronto Centre-Rosedale	FAC906395-420	FAC	Mechanical and Electrical	207 Front E-Rpl Garage Heater, Roof Fans	2017	32.0
28	Toronto Centre-Rosedale	FAC906395-421	FAC	Mechanical and Electrical	235 Cibola-Rpl Aparatus Bay, Wshrm, Fans	2015	7.0
28	Toronto Centre-Rosedale	FAC906395-421	FAC	Mechanical and Electrical	235 Cibola-Rpl Aparatus Bay, Wshrm, Fans	2016	32.0
28	Toronto Centre-Rosedale	FAC906395-573	FAC	Mechanical and Electrical	91 Front E - Repl of Elec Dist Equip	2018	37.0
28	Toronto Centre-Rosedale	FAC906395-573	FAC	Mechanical and Electrical	91 Front E - Repl of Elec Dist Equip	2019	364.0
28	Toronto Centre-Rosedale	FAC906395-609	FAC	Mechanical and Electrical	235 CIBOLA AVE - Garage Unit Heater	2018	8.0
28	Toronto Centre-Rosedale	FAC906395-609	FAC	Mechanical and Electrical	235 CIBOLA AVE - Garage Unit Heater	2019	24.0
28	Toronto Centre-Rosedale	FAC906395-613	FAC	Mechanical and Electrical	91 Front St E- Rpl of Switchboards	2023	52.0
28	Toronto Centre-Rosedale	FAC906397-105	FAC	Renovations	235 Cibola-Interior Repainting	2017	83.0
28	Toronto Centre-Rosedale	FAC906397-33	FAC	Renovations	157 King- Windows Washrooms Carpets AHU	2023	30.0
28	Toronto Centre-Rosedale	FAC907554-2	FAC	St. Lawrence Market North Property	Redevelopment of St. Lawrence Market North	2014	6065.0
28	Toronto Centre-Rosedale	FAC907554-2	FAC	St. Lawrence Market North Property	Redevelopment of St. Lawrence Market North	2015	15935.0
28	Toronto Centre-Rosedale	FAC907554-2	FAC	St. Lawrence Market North Property	Redevelopment of St. Lawrence Market North	2016	15000.0
28	Toronto Centre-Rosedale	FAC907554-2	FAC	St. Lawrence Market North Property	Redevelopment of St. Lawrence Market North	2017	3125.0
28	Toronto Centre-Rosedale	FAC907554-3	FAC	St. Lawrence Market North Property	SLM North - Additional Funding for Moving Costs	2017	400.0
28	Toronto Centre-Rosedale	LIB907262-6	LIB	St. Lawrence Neighbourhood Library Relocation	St. Lawrence Neighbourhood Library Expansion	2016	419.0
28	Toronto Centre-Rosedale	LIB907262-6	LIB	St. Lawrence Neighbourhood Library Relocation	St. Lawrence Neighbourhood Library Expansion	2017	4016.0
28	Toronto Centre-Rosedale	LIB907262-6	LIB	St. Lawrence Neighbourhood Library Relocation	St. Lawrence Neighbourhood Library Expansion	2019	4647.0
28	Toronto Centre-Rosedale	PKS000017-419	PKS	Park Development	Harbour Square Park - Redesign^	2015	50.0
28	Toronto Centre-Rosedale	PKS000017-419	PKS	Park Development	Harbour Square Park - Redesign^	2016	700.0
28	Toronto Centre-Rosedale	PKS000017-506	PKS	Park Development	Regent Parkette CRC	2014	105.0
28	Toronto Centre-Rosedale	PKS000017-507	PKS	Park Development	Regent Park Athletic Field Design	2019	50.0
28	Toronto Centre-Rosedale	PKS000017-507	PKS	Park Development	Regent Park Athletic Field Design	2020	250.0
28	Toronto Centre-Rosedale	PKS000017-507	PKS	Park Development	Regent Park Athletic Field Design	2021	75.0
28	Toronto Centre-Rosedale	PKS000017-507	PKS	Park Development	Regent Park Athletic Field Design	2022	75.0
28	Toronto Centre-Rosedale	PKS000017-508	PKS	Park Development	Regent Park Athletic Field Construction	2021	625.0
28	Toronto Centre-Rosedale	PKS000017-508	PKS	Park Development	Regent Park Athletic Field Construction	2022	800.0
28	Toronto Centre-Rosedale	PKS000017-510	PKS	Park Development	Centre Island - Construct a Picnic Shelter^	2016	50.0
28	Toronto Centre-Rosedale	PKS000017-510	PKS	Park Development	Centre Island - Construct a Picnic Shelter^	2017	450.0
28	Toronto Centre-Rosedale	PKS000017-651	PKS	Park Development	Berczy Park Design - S42	2014	100.0
28	Toronto Centre-Rosedale	PKS000017-652	PKS	Park Development	Berczy Park Construction - S42	2014	2250.0
28	Toronto Centre-Rosedale	PKS000017-652	PKS	Park Development	Berczy Park Construction - S42	2015	750.0
28	Toronto Centre-Rosedale	PKS000019-25	PKS	Playgrounds/Waterplay	Centre Island West - Wading Pool Conversion	2016	50.0
28	Toronto Centre-Rosedale	PKS000019-25	PKS	Playgrounds/Waterplay	Centre Island West - Wading Pool Conversion	2017	450.0
28	Toronto Centre-Rosedale	PKS000020-100	PKS	Pool	Wellesley CC Pool - Construction - S37/45/42	2015	466.0
28	Toronto Centre-Rosedale	PKS000020-100	PKS	Pool	Wellesley CC Pool - Construction - S37/45/42	2016	3678.0
28	Toronto Centre-Rosedale	PKS000020-100	PKS	Pool	Wellesley CC Pool - Construction - S37/45/42	2017	5895.0
28	Toronto Centre-Rosedale	PKS000020-110	PKS	Pool	Wellesley CC Pool Design - S37/S45	2014	700.0
28	Toronto Centre-Rosedale	PKS000026-6	PKS	Special Facilities	Firehall Slip 35 - Renovations	2017	50.0
28	Toronto Centre-Rosedale	PKS000026-6	PKS	Special Facilities	Firehall Slip 35 - Renovations	2018	700.0
28	Toronto Centre-Rosedale	PKS023   -274	PKS	Community Centres	Regent CC-TDSB Fund	2015	600.0
28	Toronto Centre-Rosedale	TPA906552-1	TPA	Bay/Lakeshore (downtown fringe south)	Bay/Lakeshore (Downtown fringe south)	2020	10000.0
28	Toronto Centre-Rosedale	TPA907139-1	TPA	Financial District East (Queen/Jarvis)	Financial District East (Queen/Jarvis)	2022	10000.0
28	Toronto Centre-Rosedale	TPA907260-1	TPA	St Lawrence Market	St, Lawrence Market	2015	14500.0
28	Toronto Centre-Rosedale	TRN907831-1	TRN	Front Street Reconfiguration EA	Front Street Reconfiguration EA	2014	2500.0
28	Toronto Centre-Rosedale	TRN907831-2	TRN	Front Street Reconfiguration EA	Front Street Reconfiguration Streetscape Impr.	2014	3300.0
28	Toronto Centre-Rosedale	UNS907229-18	UNS	Union Station Revitilization	North West PATH	2015	430.0
28	Toronto Centre-Rosedale	UNS907229-27	UNS	Union Station Revitilization	Additional Funding for North West PATH	2016	18000.0
28	Toronto Centre-Rosedale	UNS907229-27	UNS	Union Station Revitilization	Additional Funding for North West PATH	2017	8000.0
28	Toronto Centre-Rosedale	UNS907600-12	UNS	Union Station Redevelopment and Revitalization	Fees and Permits - Additional Funding	2014	200.0
28	Toronto Centre-Rosedale	UNS907600-12	UNS	Union Station Redevelopment and Revitalization	Fees and Permits - Additional Funding	2015	1000.0
28	Toronto Centre-Rosedale	UNS907600-4	UNS	Union Station Redevelopment and Revitalization	Internal (City) Charges	2014	750.0
28	Toronto Centre-Rosedale	UNS907600-4	UNS	Union Station Redevelopment and Revitalization	Internal (City) Charges	2015	500.0
28	Toronto Centre-Rosedale	UNS907745-1	UNS	USR - Construction Contracts	Phase 1 - Construction	2014	6000.0
28	Toronto Centre-Rosedale	UNS907745-12	UNS	USR - Construction Contracts	Third Party Construction	2014	500.0
28	Toronto Centre-Rosedale	UNS907745-12	UNS	USR - Construction Contracts	Third Party Construction	2015	500.0
28	Toronto Centre-Rosedale	UNS907745-15	UNS	USR - Construction Contracts	Heritage Lighting	2014	500.0
28	Toronto Centre-Rosedale	UNS907745-2	UNS	USR - Construction Contracts	Phase 2 - Construction	2014	1610.5
28	Toronto Centre-Rosedale	UNS907745-2	UNS	USR - Construction Contracts	Phase 2 - Construction	2015	11000.0
28	Toronto Centre-Rosedale	UNS907745-3	UNS	USR - Construction Contracts	Phase 3 - Construction	2015	3261.5
28	Toronto Centre-Rosedale	UNS907745-4	UNS	USR - Construction Contracts	Phase 4 - Construction	2016	17000.0
28	Toronto Centre-Rosedale	UNS907745-5	UNS	USR - Construction Contracts	Phase 5 - Construction	2016	4480.0
28	Toronto Centre-Rosedale	UNS907745-6	UNS	USR - Construction Contracts	Other Construction	2014	342.5
28	Toronto Centre-Rosedale	UNS907745-6	UNS	USR - Construction Contracts	Other Construction	2015	332.5
28	Toronto Centre-Rosedale	UNS907745-6	UNS	USR - Construction Contracts	Other Construction	2016	186.0
28	Toronto Centre-Rosedale	UNS907746-1	UNS	USR - Professional Services	Phase 1 - Professional Services	2014	340.0
28	Toronto Centre-Rosedale	UNS907746-11	UNS	USR - Professional Services	Adjustments - Professional Services 2013	2015	761.0
28	Toronto Centre-Rosedale	UNS907746-2	UNS	USR - Professional Services	Phase 2 - Professional Services	2014	476.0
28	Toronto Centre-Rosedale	UNS907746-2	UNS	USR - Professional Services	Phase 2 - Professional Services	2015	57.0
28	Toronto Centre-Rosedale	UNS907746-3	UNS	USR - Professional Services	Phase 3 - Professional Services	2015	240.0
28	Toronto Centre-Rosedale	UNS907746-5	UNS	USR - Professional Services	Phase 5 - Professional Services	2016	79.0
28	Toronto Centre-Rosedale	UNS907746-6	UNS	USR - Professional Services	Other Professional Services	2014	638.5
28	Toronto Centre-Rosedale	UNS907746-6	UNS	USR - Professional Services	Other Professional Services	2015	311.5
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2015	859.0
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2016	330.0
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2017	132.0
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2018	745.0
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2019	287.0
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2020	115.0
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2021	420.0
28	Toronto Centre-Rosedale	WAT907558-1	WAT	REGENT PARK CAPITAL CONTRIBUTION	REGENT PARK CAPITAL CONTRIBUTION	2022	162.0
28	Toronto Centre-Rosedale	PKS000017-733	PKS	Park Development	318 Queens Quay West Pk Development Construction	2016	3000.0
28	Toronto Centre-Rosedale	PKS000017-733	PKS	Park Development	318 Queens Quay West Pk Development Construction	2017	1000.0
28	Toronto Centre-Rosedale	UNS907746-14	UNS	USR - Professional Services	Heritage Interpretation Plan - Additional Funding	2014	250.0
28	Toronto Centre-Rosedale	TPA907968-1	TPA	Elevator Upgrade CP 26	Elevator Upgrade CP 26	2014	500.0
28	Toronto Centre-Rosedale	TPA907962-1	TPA	Cabbagetown (51 Aberdeen)	Cabbagetown (51 Arberdeen)	2015	2400.0
28	Toronto Centre-Rosedale	TPA907969-1	TPA	Waterproofing/ concrete Repairs CP 26	Waterproofing/ concrete Repairs CP 26	2014	100.0
28	Toronto Centre-Rosedale	UNS907600-13	UNS	Union Station Redevelopment and Revitalization	Fees & Permits - Additional 2014	2014	300.0
28	Toronto Centre-Rosedale	TPA907992-1	TPA	Head Office refurbishment	head Office refurbishment	2014	100.0
28	Toronto Centre-Rosedale	PKS000017-730	PKS	Park Development	Market Ln Parkette & S Market Pk Dvt Design - S42	2015	175.0
28	Toronto Centre-Rosedale	PKS000017-730	PKS	Park Development	Market Ln Parkette & S Market Pk Dvt Design - S42	2016	750.0
28	Toronto Centre-Rosedale	UNS907745-17	UNS	USR - Construction Contracts	Heritage Lighting - Additional for Great Hall	2014	750.0
28	Toronto Centre-Rosedale	CHS907231-2	CHS	Regent Park Children's Hub	Regent Park Children's Hub	2014	70.0
28	Toronto Centre-Rosedale	ACH000016-91	ACH	Major Maintenance	Berkley Theatre Capital Maintenance 2014	2014	275.0
28	Toronto Centre-Rosedale	ACH000016-91	ACH	Major Maintenance	Berkley Theatre Capital Maintenance 2014	2015	375.0
28	Toronto Centre-Rosedale	TPA907976-1	TPA	Waterproofing/ concrete Repairs CP 52	Waterproofing/ concrete Repairs CP 52	2014	300.0
28	Toronto Centre-Rosedale	TPA907884-2	TPA	Fire Alarm Upgrade CP 52	Fire Alarm CP 52 20141	2014	100.0
28	Toronto Centre-Rosedale	TPA907974-1	TPA	Signage Upgrade Illuminated CP 43	Signage Upgrade Illuminated CP 43	2014	200.0
28	Toronto Centre-Rosedale	PKS000026-168	PKS	Special Facilities	Jack Layton Ferry Terminal Design Competition	2014	350.0
28	Toronto Centre-Rosedale	FAC906394-338	FAC	Structural/Building Envelope	51 PARLIAMENT-exterior heritage windows security d	2015	13.0
28	Toronto Centre-Rosedale	FAC906394-338	FAC	Structural/Building Envelope	51 PARLIAMENT-exterior heritage windows security d	2016	197.0
28	Toronto Centre-Rosedale	PKS000015-69	PKS	Land Acquisition	318 Queens Quay West Park Remediation	2014	75.0
28	Toronto Centre-Rosedale	PKS000017-731	PKS	Park Development	Market Ln Parkette & S Pk Devt Construction - S42	2015	1000.0
28	Toronto Centre-Rosedale	PKS000017-731	PKS	Park Development	Market Ln Parkette & S Pk Devt Construction - S42	2016	1750.0
28	Toronto Centre-Rosedale	TPA907978-1	TPA	CP 58 Resufacing and New Fence	CP 58 Resurfacing and New Fence	2014	250.0
28	Toronto Centre-Rosedale	TPA907979-1	TPA	Two Pay Station Booths CP 58	Two Pay Station Booths CP 58	2014	150.0
28	Toronto Centre-Rosedale	TPA907977-1	TPA	Signage upgrade Illuminated CP 52	Signage Upgrade Illuminated CP 52	2014	50.0
28	Toronto Centre-Rosedale	TRN907834-1	TRN	York/Bay/Yonge Reconfiguration	York/Bay/Yonge Reconfiguration	2016	5000.0
28	Toronto Centre-Rosedale	PKS000017-741	PKS	Park Development	Ontario Street Parkette Ph.2 Improvements S42	2014	100.0
28	Toronto Centre-Rosedale	PKS000017-732	PKS	Park Development	318 Queens Quay W Pk Development Design	2014	80.0
28	Toronto Centre-Rosedale	PKS000017-732	PKS	Park Development	318 Queens Quay W Pk Development Design	2015	320.0
28	Toronto Centre-Rosedale	UNS907600-14	UNS	Union Station Redevelopment and Revitalization	Internal City Charges - Additional 2014	2014	100.0
28	Toronto Centre-Rosedale	UNS907600-14	UNS	Union Station Redevelopment and Revitalization	Internal City Charges - Additional 2014	2015	300.0
28	Toronto Centre-Rosedale	UNS907600-14	UNS	Union Station Redevelopment and Revitalization	Internal City Charges - Additional 2014	2016	500.0
28	Toronto Centre-Rosedale	PKS000015-68	PKS	Land Acquisition	Market Lane Parkette & S Market Pk Remediation	2015	50.0
28	Toronto Centre-Rosedale	TPA907984-1	TPA	Concrete Repairs CP 125	Concrete Repairs CP 125	2014	125.0
28	Toronto Centre-Rosedale	PKS000017-743	PKS	Park Development	Berczy Park Design Phase 2- S42	2014	250.0
28	Toronto Centre-Rosedale	PKS000017-747	PKS	Park Development	Corktown Parks	2014	207.0
29	Toronto-Danforth	ACH000011-29	ACH	Service Enhancement	Todmorden Mills Museum Brewery FY	2016	600.0
29	Toronto-Danforth	ACH000012-147	ACH	Restoration/Preservation of Heritage Elements	Todmorden Mills Centre-2013	2014	40.0
29	Toronto-Danforth	ACH000013-28	ACH	Refurbishment and Rehabilitation	Todmorden Mills Interiors	2014	191.0
29	Toronto-Danforth	FAC906395-245	FAC	Mechanical and Electrical	850 Coxwell Ave- Rpl Exhaust Fans	2023	120.0
29	Toronto-Danforth	FAC906395-283	FAC	Mechanical and Electrical	1076 Pape-Rtroft Ltg Sys, Rpl Fire Alarm Sys	2020	19.0
29	Toronto-Danforth	FAC906395-283	FAC	Mechanical and Electrical	1076 Pape-Rtroft Ltg Sys, Rpl Fire Alarm Sys	2021	183.0
29	Toronto-Danforth	FAC906395-404	FAC	Mechanical and Electrical	44 Beechwood Dr-Rpl HVAC unit, BAS	2016	38.0
29	Toronto-Danforth	FAC906395-404	FAC	Mechanical and Electrical	44 Beechwood Dr-Rpl HVAC unit, BAS	2017	314.0
29	Toronto-Danforth	FAC906395-535	FAC	Mechanical and Electrical	850 Coxwell Ave-RPL Chillers, Condensers	2017	224.0
29	Toronto-Danforth	FAC906395-535	FAC	Mechanical and Electrical	850 Coxwell Ave-RPL Chillers, Condensers	2018	2000.0
29	Toronto-Danforth	FAC906397-66	FAC	Renovations	1076 Pape-Replacement of All Flooring	2018	17.0
29	Toronto-Danforth	FAC906397-66	FAC	Renovations	1076 Pape-Replacement of All Flooring	2019	181.0
29	Toronto-Danforth	FAC906397-95	FAC	Renovations	175 Memorial Park - Carpet & Barrier Free Retrofit	2017	16.0
29	Toronto-Danforth	FAC906397-95	FAC	Renovations	175 Memorial Park - Carpet & Barrier Free Retrofit	2018	184.0
29	Toronto-Danforth	PKS000022-67	PKS	Trails & Pathways	Don Valley Brickworks - Todmorden Mills	2014	50.0
29	Toronto-Danforth	PKS000022-67	PKS	Trails & Pathways	Don Valley Brickworks - Todmorden Mills	2015	450.0
29	Toronto-Danforth	FAC906395-869	FAC	Mechanical and Electrical	175 Memorial Park Ave - Various Projects	2023	13.0
29	Toronto-Danforth	FAC906395-863	FAC	Mechanical and Electrical	1076 Pape Ave - Various Projects	2023	21.0
29	Toronto-Danforth	ACH000012-159	ACH	Restoration/Preservation of Heritage Elements	Todmorden Mills Centre-2014	2014	300.0
29	Toronto-Danforth	ACH000012-159	ACH	Restoration/Preservation of Heritage Elements	Todmorden Mills Centre-2014	2015	150.0
29	Toronto-Danforth	FAC906395-912	FAC	Mechanical and Electrical	850 Coxwell -Var Mech SOGR Projects	2023	139.0
29	Toronto-Danforth	TPA907964-1	TPA	Nesbitt Lodge (CP 17)	Nesbitt Lodge (CP 17)	2014	2100.0
29	Toronto-Danforth	TPA907985-1	TPA	CP 149 Repaving and Lighting Upgrade	CP 149 Repaving and Lighting Upgrade	2014	60.0
29	Toronto-Danforth	PKS000017-683	PKS	Park Development	Langford to Logan Park Improvements	2015	50.0
29	Toronto-Danforth	PKS000017-683	PKS	Park Development	Langford to Logan Park Improvements	2016	100.0
29	Toronto-Danforth	PKS000017-683	PKS	Park Development	Langford to Logan Park Improvements	2017	600.0
29	Toronto-Danforth	PKS000017-682	PKS	Park Development	Sauriol Parkette improvements - S37	2014	100.0
29	Toronto-Danforth	TPA907983-1	TPA	CP 90 Repaving and Lighting Upgrade	CP 90 Repaving and Lighting Upgrade	2014	60.0
29	Toronto-Danforth	FAC906395-914	FAC	Mechanical and Electrical	850 Coxwell -Var Mech SOGR Projects	2023	252.0
29	Toronto-Danforth	TPA907960-1	TPA	242 Danforth, E. of Broadview (CP 78 extension)	242 Danforth, E. of Broadview (CP 78 extension)	2014	2800.0
29	Toronto-Danforth	TPA907981-1	TPA	CP 78 Repaving and Lighting Upgrade	CP 78 Repaving and Lighting Upgrade	2014	160.0
29	Toronto-Danforth	FAC906394-321	FAC	Structural/Building Envelope	175 Memorial Park Ave - Various Projects	2023	18.0
29	Toronto-Danforth	PKS000017-684	PKS	Park Development	Ward 29 Park Improvements - S42	2014	200.0
30	Broadview-Greenwood	ERP906993-17	ERP	Energy Retrofit Projects	Energy Retrofit Projects - Booth Yard	2014	750.0
30	Broadview-Greenwood	FAC906394-28	FAC	Structural/Building Envelope	840 Gerrard E-Rpl  Slab and Install CO/NOx	2014	716.0
30	Broadview-Greenwood	FAC906395-252	FAC	Mechanical and Electrical	786 Dundas St-Rpl heating boiler in bsmt	2022	27.0
30	Broadview-Greenwood	FAC906395-252	FAC	Mechanical and Electrical	786 Dundas St-Rpl heating boiler in bsmt	2023	162.0
30	Broadview-Greenwood	FAC906396-69	FAC	Sitework	840 Gerrard St-Masonry repairs & waterproofing	2014	7.0
30	Broadview-Greenwood	FAC906396-69	FAC	Sitework	840 Gerrard St-Masonry repairs & waterproofing	2015	122.0
30	Broadview-Greenwood	FAC906397-2	FAC	Renovations	86 Blake - Renewal of Interior Finishes	2018	6.0
30	Broadview-Greenwood	FAC906397-2	FAC	Renovations	86 Blake - Renewal of Interior Finishes	2019	57.0
30	Broadview-Greenwood	FAC906397-204	FAC	Renovations	153 Chatham-Interior Repainting	2018	2.0
30	Broadview-Greenwood	FAC906397-204	FAC	Renovations	153 Chatham-Interior Repainting	2019	16.0
30	Broadview-Greenwood	PKS000015-60	PKS	Land Acquisition	1555 Danforth/WoodGreen Remediation	2014	100.0
30	Broadview-Greenwood	PKS000017-586	PKS	Park Development	Joel Weeks/Don Mount FY2011	2014	14.0
30	Broadview-Greenwood	TPA907287-1	TPA	Gerrard St. East (Broadview/ Coxwell)	Gerrard St. East (Broadview/ Coxwell)	2022	2000.0
30	Broadview-Greenwood	TPA907795-1	TPA	Greektown (Danforth East)	Greektown (Danforth East)	2021	4000.0
30	Broadview-Greenwood	TRC16    -38	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Keating Channel Dredging	2014	320.0
30	Broadview-Greenwood	TRC16    -38	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Keating Channel Dredging	2015	320.0
30	Broadview-Greenwood	TRC16    -38	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Keating Channel Dredging	2016	320.0
30	Broadview-Greenwood	TRC16    -38	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Keating Channel Dredging	2017	320.0
30	Broadview-Greenwood	TRC16    -38	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Keating Channel Dredging	2018	320.0
30	Broadview-Greenwood	TRC16    -39	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Tommy Thompson Park Interim Management	2014	240.0
30	Broadview-Greenwood	TRC16    -39	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Tommy Thompson Park Interim Management	2015	240.0
30	Broadview-Greenwood	TRC16    -39	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Tommy Thompson Park Interim Management	2016	240.0
30	Broadview-Greenwood	TRC16    -39	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Tommy Thompson Park Interim Management	2017	240.0
30	Broadview-Greenwood	TRC16    -39	TRC	WATERFRONT DEVELOPMENT	Wtrfrnt Dev:Tommy Thompson Park Interim Management	2018	240.0
30	Broadview-Greenwood	TRC16    -43	TRC	WATERFRONT DEVELOPMENT	Tommy Thompson- Cell 2 Capping Phase 1	2014	200.0
30	Broadview-Greenwood	TRC16    -43	TRC	WATERFRONT DEVELOPMENT	Tommy Thompson- Cell 2 Capping Phase 1	2015	50.0
30	Broadview-Greenwood	TRC16    -43	TRC	WATERFRONT DEVELOPMENT	Tommy Thompson- Cell 2 Capping Phase 1	2016	50.0
30	Broadview-Greenwood	TRC16    -43	TRC	WATERFRONT DEVELOPMENT	Tommy Thompson- Cell 2 Capping Phase 1	2017	50.0
30	Broadview-Greenwood	TRC16    -43	TRC	WATERFRONT DEVELOPMENT	Tommy Thompson- Cell 2 Capping Phase 1	2018	50.0
30	Broadview-Greenwood	FAC906394-331	FAC	Structural/Building Envelope	433 EASTERN AVE-Windows and Doors Repairs	2016	1.0
30	Broadview-Greenwood	FAC906394-331	FAC	Structural/Building Envelope	433 EASTERN AVE-Windows and Doors Repairs	2017	97.0
30	Broadview-Greenwood	PKS000017-678	PKS	Park Development	Ward 30 Park Improvements - S42/Donations	2014	300.0
30	Broadview-Greenwood	FAC906395-887	FAC	Mechanical and Electrical	433 EASTERN AVE-Lighting Sys incl. signs,batteries	2017	13.0
30	Broadview-Greenwood	FAC906395-887	FAC	Mechanical and Electrical	433 EASTERN AVE-Lighting Sys incl. signs,batteries	2018	165.0
30	Broadview-Greenwood	FAC906393-112	FAC	Re-roofing	301 Broadview Ave - Various Projects	2023	5.0
30	Broadview-Greenwood	TPA907982-1	TPA	CP 87 Repaving and Lighting Upgrade	CP 87 Repaving and Lighting Upgrade	2014	140.0
30	Broadview-Greenwood	FAC906395-910	FAC	Mechanical and Electrical	765 Queen St-Replace rooftop HVAC unit #1	2023	12.0
30	Broadview-Greenwood	FAC906395-886	FAC	Mechanical and Electrical	433 EASTERN AVE-Distribution and Lighting Panels	2019	19.0
30	Broadview-Greenwood	FAC906395-886	FAC	Mechanical and Electrical	433 EASTERN AVE-Distribution and Lighting Panels	2020	156.0
30	Broadview-Greenwood	AMB907920-1	AMB	South East District - Multi-Function Station	SE District - Multi-Function Station (LAND)	2019	575.0
30	Broadview-Greenwood	PKS000017-677	PKS	Park Development	Withrow Park - S42/S37	2014	350.0
30	Broadview-Greenwood	PKS000015-72	PKS	Land Acquisition	Dundas Carlaw Parkland Acquisition	2014	275.0
30	Broadview-Greenwood	TPA907975-1	TPA	CP 45 Repaving, Lighting Upgrade and Wall	CP 45 Repaving, Lighting Upgrade and Wall	2014	170.0
30	Broadview-Greenwood	FAC906394-341	FAC	Structural/Building Envelope	786 Dundas St E - Various Projects	2023	8.0
30	Broadview-Greenwood	FAC906394-334	FAC	Structural/Building Envelope	433 EASTERN AVE-Exterior Doors Replacement	2015	5.0
30	Broadview-Greenwood	FAC906394-334	FAC	Structural/Building Envelope	433 EASTERN AVE-Exterior Doors Replacement	2016	24.0
31	Beaches-East York	FAC906393-16	FAC	Re-roofing	89 Northline-Rpl Roof Section	2014	565.0
31	Beaches-East York	FAC906393-16	FAC	Re-roofing	89 Northline-Rpl Roof Section	2015	221.0
31	Beaches-East York	FAC906395-637	FAC	Mechanical and Electrical	89 Northline Rd-Rpl Rooftop HVAC Unit#4	2022	5.0
31	Beaches-East York	FAC906395-637	FAC	Mechanical and Electrical	89 Northline Rd-Rpl Rooftop HVAC Unit#4	2023	40.0
31	Beaches-East York	FAC906396-87	FAC	Sitework	1313 Woodbine Ave-Various Projects	2017	33.0
31	Beaches-East York	FAC906396-87	FAC	Sitework	1313 Woodbine Ave-Various Projects	2018	95.0
31	Beaches-East York	FAC906396-87	FAC	Sitework	1313 Woodbine Ave-Various Projects	2019	601.0
31	Beaches-East York	FAC906397-20	FAC	Renovations	105 Cedarvale-Ext Wall Rehab, Rpl Windows	2016	356.0
31	Beaches-East York	LIB907596-1	LIB	Dawes Road Neighbourhood Library	Dawes Road Neighbourhood Library Renovation	2016	127.0
