Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Inter-Divisional Charges,700A,Expenses,367.03
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Materials & Supplies,200A,Expenses,3998.78
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Salaries And Benefits,100A,Expenses,1705210.75
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Service And Rent,400A,Expenses,257733.4
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Sundry and Other Revenues,940A,Revenues,-610508.16
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,User Fees & Donations,850A,Revenues,-0.02
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Contribution From Reserves/Reserve Funds,930A,Revenues,-545000.0
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Equipment,300A,Expenses,8353.39
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Inter-Divisional Recoveries,750A,Revenues,-224094.0
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Materials & Supplies,200A,Expenses,2871.58
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Salaries And Benefits,100A,Expenses,1649572.2
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Service And Rent,400A,Expenses,40060.6
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Contribution To Reserves/Reserve Funds,510A,Expenses,8643674.96
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Equipment,300A,Expenses,540681.05
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Inter-Divisional Charges,700A,Expenses,7558621.72
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Inter-Divisional Recoveries,750A,Revenues,-150332.3
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Materials & Supplies,200A,Expenses,8374685.04
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Salaries And Benefits,100A,Expenses,373998449.63
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Service And Rent,400A,Expenses,5955100.54
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Sundry and Other Revenues,940A,Revenues,-102739.35
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Transfers From Capital,920A,Revenues,-144856.0
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,User Fees & Donations,850A,Revenues,-14040378.25
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Equipment,300A,Expenses,143096.3
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Materials & Supplies,200A,Expenses,10990.71
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Provincial Subsidies,805A,Revenues,-100000.0
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Salaries And Benefits,100A,Expenses,17968.88
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Service And Rent,400A,Expenses,152271.19
Fire Services,FR-Disaster Response & Event Support,Event Support,Contribution From Reserves/Reserve Funds,930A,Revenues,4.0
Fire Services,FR-Disaster Response & Event Support,Event Support,Equipment,300A,Expenses,3575.2
Fire Services,FR-Disaster Response & Event Support,Event Support,Materials & Supplies,200A,Expenses,173.0
Fire Services,FR-Disaster Response & Event Support,Event Support,Salaries And Benefits,100A,Expenses,141089.15
Fire Services,FR-Disaster Response & Event Support,Event Support,Service And Rent,400A,Expenses,475.6
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Equipment,300A,Expenses,105351.72
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Inter-Divisional Charges,700A,Expenses,69000.0
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Materials & Supplies,200A,Expenses,117300.36
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Provincial Subsidies,805A,Revenues,-300000.0
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Salaries And Benefits,100A,Expenses,578380.9
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Service And Rent,400A,Expenses,106258.32
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,Equipment,300A,Expenses,2493.5
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,Inter-Divisional Charges,700A,Expenses,163.41
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,Materials & Supplies,200A,Expenses,4525.97
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,Salaries And Benefits,100A,Expenses,915382.87
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,Service And Rent,400A,Expenses,482.16
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,User Fees & Donations,850A,Revenues,-14085.62
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Contribution To Reserves/Reserve Funds,510A,Expenses,205233.22
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Equipment,300A,Expenses,90993.47
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Inter-Divisional Charges,700A,Expenses,266440.8
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Inter-Divisional Recoveries,750A,Revenues,-6217.36
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Materials & Supplies,200A,Expenses,394593.59
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Salaries And Benefits,100A,Expenses,19780167.46
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Service And Rent,400A,Expenses,121340.22
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,User Fees & Donations,850A,Revenues,-459448.6
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Contribution To Reserves/Reserve Funds,510A,Expenses,7800.0
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Equipment,300A,Expenses,9677.88
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Inter-Divisional Charges,700A,Expenses,122437.43
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Inter-Divisional Recoveries,750A,Revenues,-1554.34
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Materials & Supplies,200A,Expenses,101851.99
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Salaries And Benefits,100A,Expenses,3983135.94
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Service And Rent,400A,Expenses,93351.67
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,User Fees & Donations,850A,Revenues,-1002.91
Fire Services,FR-Fire Safety Education,School Based Fire Education,Contribution From Reserves/Reserve Funds,930A,Revenues,-4.0
Fire Services,FR-Fire Safety Education,School Based Fire Education,Equipment,300A,Expenses,893.5
Fire Services,FR-Fire Safety Education,School Based Fire Education,Inter-Divisional Charges,700A,Expenses,7258.6
Fire Services,FR-Fire Safety Education,School Based Fire Education,Materials & Supplies,200A,Expenses,14626.75
Fire Services,FR-Fire Safety Education,School Based Fire Education,Salaries And Benefits,100A,Expenses,585516.94
Fire Services,FR-Fire Safety Education,School Based Fire Education,Service And Rent,400A,Expenses,8055.47
Fire Services,FR-Fire Safety Education,School Based Fire Education,Sundry and Other Revenues,940A,Revenues,-8061.0
Fleet Services,FL-Fleet Management,Fleet Acquisition,Contribution From Reserves/Reserve Funds,930A,Revenues,-164414.59
Fleet Services,FL-Fleet Management,Fleet Acquisition,Contribution To Reserves/Reserve Funds,510A,Expenses,826870.18
Fleet Services,FL-Fleet Management,Fleet Acquisition,Equipment,300A,Expenses,81.53
Fleet Services,FL-Fleet Management,Fleet Acquisition,Inter-Divisional Charges,700A,Expenses,21886.79
Fleet Services,FL-Fleet Management,Fleet Acquisition,Inter-Divisional Recoveries,750A,Revenues,-168051.4
Fleet Services,FL-Fleet Management,Fleet Acquisition,Materials & Supplies,200A,Expenses,3187.67
Fleet Services,FL-Fleet Management,Fleet Acquisition,Salaries And Benefits,100A,Expenses,1003521.0
Fleet Services,FL-Fleet Management,Fleet Acquisition,Service And Rent,400A,Expenses,313043.63
Fleet Services,FL-Fleet Management,Fleet Acquisition,Sundry and Other Revenues,940A,Revenues,-856663.23
Fleet Services,FL-Fleet Management,Fleet Acquisition,Transfers From Capital,920A,Revenues,-80000.0
Fleet Services,FL-Fleet Management,Fleet Disposal,Salaries And Benefits,100A,Expenses,173145.48
Fleet Services,FL-Fleet Management,Fleet Disposal,Sundry and Other Revenues,940A,Revenues,-275800.0
Fleet Services,FL-Fleet Management,Fleet Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,38414.59
Fleet Services,FL-Fleet Management,Fleet Maintenance,Contribution To Reserves/Reserve Funds,510A,Expenses,88022.4
Fleet Services,FL-Fleet Management,Fleet Maintenance,Equipment,300A,Expenses,57691.97
Fleet Services,FL-Fleet Management,Fleet Maintenance,Inter-Divisional Charges,700A,Expenses,365934.09
Fleet Services,FL-Fleet Management,Fleet Maintenance,Inter-Divisional Recoveries,750A,Revenues,-32670596.47
Fleet Services,FL-Fleet Management,Fleet Maintenance,Materials & Supplies,200A,Expenses,9673680.2
Fleet Services,FL-Fleet Management,Fleet Maintenance,Salaries And Benefits,100A,Expenses,15467045.1
Fleet Services,FL-Fleet Management,Fleet Maintenance,Service And Rent,400A,Expenses,6054398.87
Fleet Services,FL-Fleet Management,Fleet Maintenance,Sundry and Other Revenues,940A,Revenues,1272068.13
Fleet Services,FL-Fleet Management,Fleet Maintenance,Transfers From Capital,920A,Revenues,-690280.0
Fleet Services,FL-Fleet Management,Vehicle Safety,Equipment,300A,Expenses,600.0
Fleet Services,FL-Fleet Management,Vehicle Safety,Inter-Divisional Charges,700A,Expenses,2600.0
Fleet Services,FL-Fleet Management,Vehicle Safety,Materials & Supplies,200A,Expenses,13752.0
Fleet Services,FL-Fleet Management,Vehicle Safety,Salaries And Benefits,100A,Expenses,1157830.5
Fleet Services,FL-Fleet Management,Vehicle Safety,Service And Rent,400A,Expenses,10263.05
Fleet Services,FL-Fleet Management,Vehicle Safety,Sundry and Other Revenues,940A,Revenues,-1592053.98
Fleet Services,FL-Fuel Management,Fuel Acquisition,Contribution To Reserves/Reserve Funds,510A,Expenses,2446.9
Fleet Services,FL-Fuel Management,Fuel Acquisition,Inter-Divisional Charges,700A,Expenses,68780.97
Fleet Services,FL-Fuel Management,Fuel Acquisition,Inter-Divisional Recoveries,750A,Revenues,-12435503.5
Fleet Services,FL-Fuel Management,Fuel Acquisition,Materials & Supplies,200A,Expenses,13587624.34
Fleet Services,FL-Fuel Management,Fuel Acquisition,Salaries And Benefits,100A,Expenses,13650.93
Fleet Services,FL-Fuel Management,Fuel Acquisition,Service And Rent,400A,Expenses,106898.67
Fleet Services,FL-Fuel Management,Fuel Acquisition,Sundry and Other Revenues,940A,Revenues,-1069024.9
Fleet Services,FL-Fuel Management,Fuel Distribution,Contribution From Reserves/Reserve Funds,930A,Revenues,-14000.0
Fleet Services,FL-Fuel Management,Fuel Distribution,Contribution To Reserves/Reserve Funds,510A,Expenses,1558949.87
Fleet Services,FL-Fuel Management,Fuel Distribution,Equipment,300A,Expenses,369.98
Fleet Services,FL-Fuel Management,Fuel Distribution,Inter-Divisional Charges,700A,Expenses,171629.32
Fleet Services,FL-Fuel Management,Fuel Distribution,Inter-Divisional Recoveries,750A,Revenues,-2387301.13
Fleet Services,FL-Fuel Management,Fuel Distribution,Materials & Supplies,200A,Expenses,2091.04
Fleet Services,FL-Fuel Management,Fuel Distribution,Salaries And Benefits,100A,Expenses,409445.35
Fleet Services,FL-Fuel Management,Fuel Distribution,Service And Rent,400A,Expenses,296700.77
Fleet Services,FL-Fuel Management,Fuel Distribution,Sundry and Other Revenues,940A,Revenues,-358936.04
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,Contribution To Reserves/Reserve Funds,510A,Expenses,632.89
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,Materials & Supplies,200A,Expenses,24900.0
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,Salaries And Benefits,100A,Expenses,238418.01
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,Sundry and Other Revenues,940A,Revenues,-40000.0
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,User Fees & Donations,850A,Revenues,-151000.0
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Contribution To Reserves/Reserve Funds,510A,Expenses,632.9
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Federal Subsidies,810A,Revenues,-38000.0
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Materials & Supplies,200A,Expenses,42987.05
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Salaries And Benefits,100A,Expenses,302508.37
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Service And Rent,400A,Expenses,158300.0
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Sundry and Other Revenues,940A,Revenues,-161500.01
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,User Fees & Donations,850A,Revenues,-69000.0
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Contribution From Reserves/Reserve Funds,930A,Revenues,-40713.6
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Equipment,300A,Expenses,-858.6
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Inter-Divisional Charges,700A,Expenses,47907.42
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Inter-Divisional Recoveries,750A,Revenues,-929408.22
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Materials & Supplies,200A,Expenses,5668.26
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Salaries And Benefits,100A,Expenses,3126653.93
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Service And Rent,400A,Expenses,45568.08
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Sundry and Other Revenues,940A,Revenues,-122012.52
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Transfers From Capital,920A,Revenues,-150077.69
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,User Fees & Donations,850A,Revenues,-188126.1
Information & Technology,IT-Business IT Solutions,IT Common Components,Contribution From Reserves/Reserve Funds,930A,Revenues,-40713.6
Information & Technology,IT-Business IT Solutions,IT Common Components,Equipment,300A,Expenses,3847.0
Information & Technology,IT-Business IT Solutions,IT Common Components,Inter-Divisional Charges,700A,Expenses,48457.42
Information & Technology,IT-Business IT Solutions,IT Common Components,Inter-Divisional Recoveries,750A,Revenues,-368387.31
Information & Technology,IT-Business IT Solutions,IT Common Components,Materials & Supplies,200A,Expenses,11166.99
Information & Technology,IT-Business IT Solutions,IT Common Components,Salaries And Benefits,100A,Expenses,3215181.05
Information & Technology,IT-Business IT Solutions,IT Common Components,Service And Rent,400A,Expenses,107008.45
Information & Technology,IT-Business IT Solutions,IT Common Components,Sundry and Other Revenues,940A,Revenues,-73207.52
Information & Technology,IT-Business IT Solutions,IT Common Components,Transfers From Capital,920A,Revenues,-236239.38
Information & Technology,IT-Business IT Solutions,Solution Implementation,Contribution From Reserves/Reserve Funds,930A,Revenues,-40713.6
Information & Technology,IT-Business IT Solutions,Solution Implementation,Equipment,300A,Expenses,13092.87
Information & Technology,IT-Business IT Solutions,Solution Implementation,Inter-Divisional Charges,700A,Expenses,47907.42
Information & Technology,IT-Business IT Solutions,Solution Implementation,Inter-Divisional Recoveries,750A,Revenues,-1752161.68
Information & Technology,IT-Business IT Solutions,Solution Implementation,Materials & Supplies,200A,Expenses,13064.22
Information & Technology,IT-Business IT Solutions,Solution Implementation,Other Expenditures,650A,Expenses,118.68
Information & Technology,IT-Business IT Solutions,Solution Implementation,Salaries And Benefits,100A,Expenses,34596078.54
Information & Technology,IT-Business IT Solutions,Solution Implementation,Service And Rent,400A,Expenses,26989.89
Information & Technology,IT-Business IT Solutions,Solution Implementation,Transfers From Capital,920A,Revenues,-26805914.82
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Contribution From Reserves/Reserve Funds,930A,Revenues,-40713.6
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Equipment,300A,Expenses,83390.18
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Inter-Divisional Charges,700A,Expenses,47907.42
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Inter-Divisional Recoveries,750A,Revenues,-1799619.66
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Materials & Supplies,200A,Expenses,18768.05
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Other Expenditures,650A,Expenses,197.88
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Salaries And Benefits,100A,Expenses,8592269.93
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Service And Rent,400A,Expenses,7237052.26
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Transfers From Capital,920A,Revenues,-360118.94
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Contribution From Reserves/Reserve Funds,930A,Revenues,-3185857.95
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Contribution To Reserves/Reserve Funds,510A,Expenses,-1556.4
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Equipment,300A,Expenses,358291.23
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Inter-Divisional Charges,700A,Expenses,55906.24
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Inter-Divisional Recoveries,750A,Revenues,-3006688.35
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Materials & Supplies,200A,Expenses,10950.62
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Other Expenditures,650A,Expenses,39.54
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Salaries And Benefits,100A,Expenses,17730247.62
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Service And Rent,400A,Expenses,11299313.89
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Sundry and Other Revenues,940A,Revenues,-90808.84
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Transfers From Capital,920A,Revenues,-871975.86
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,User Fees & Donations,850A,Revenues,-208800.0
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Contribution From Reserves/Reserve Funds,930A,Revenues,-16413.05
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Contribution To Reserves/Reserve Funds,510A,Expenses,11040.0
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Equipment,300A,Expenses,105066.37
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Inter-Divisional Charges,700A,Expenses,64002.66
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Inter-Divisional Recoveries,750A,Revenues,-4999813.54
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Materials & Supplies,200A,Expenses,21966.88
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Other Expenditures,650A,Expenses,39.6
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Salaries And Benefits,100A,Expenses,5641389.99
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Service And Rent,400A,Expenses,7204445.05
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Sundry and Other Revenues,940A,Revenues,-5591.16
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Transfers From Capital,920A,Revenues,-259913.68
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Contribution From Reserves/Reserve Funds,930A,Revenues,-30000.0
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Contribution To Reserves/Reserve Funds,510A,Expenses,47345.3
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Equipment,300A,Expenses,61885.05
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Inter-Divisional Charges,700A,Expenses,64963.84
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Inter-Divisional Recoveries,750A,Revenues,-509865.82
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Materials & Supplies,200A,Expenses,17761.06
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Salaries And Benefits,100A,Expenses,13416851.05
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Service And Rent,400A,Expenses,179902.4
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Sundry and Other Revenues,940A,Revenues,-24402.48
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Transfers From Capital,920A,Revenues,-1559404.65
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Contribution From Reserves/Reserve Funds,930A,Revenues,-310713.6
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Contribution To Reserves/Reserve Funds,510A,Expenses,69736.35
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Equipment,300A,Expenses,277274.65
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Inter-Divisional Charges,700A,Expenses,59834.29
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Inter-Divisional Recoveries,750A,Revenues,-1151365.13
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Materials & Supplies,200A,Expenses,12921.2
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Salaries And Benefits,100A,Expenses,7023212.95
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Service And Rent,400A,Expenses,327295.29
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Sundry and Other Revenues,940A,Revenues,-410326.45
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Transfers From Capital,920A,Revenues,-629580.53
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Equipment,300A,Expenses,3427.67
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Inter-Divisional Charges,700A,Expenses,47907.42
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Inter-Divisional Recoveries,750A,Revenues,-11008.33
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Materials & Supplies,200A,Expenses,2815.96
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Salaries And Benefits,100A,Expenses,3463841.4
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Service And Rent,400A,Expenses,11667.32
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Transfers From Capital,920A,Revenues,-1353369.26
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Contribution To Reserves/Reserve Funds,510A,Expenses,4365.48
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Equipment,300A,Expenses,53.17
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Inter-Divisional Charges,700A,Expenses,400.0
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Materials & Supplies,200A,Expenses,1575.8
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Salaries And Benefits,100A,Expenses,455220.83
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Service And Rent,400A,Expenses,17618.32
Legal Services,Civil Litigation,Civil Litigation,Contribution From Reserves/Reserve Funds,930A,Revenues,-700000.0
Legal Services,Civil Litigation,Civil Litigation,Contribution To Reserves/Reserve Funds,510A,Expenses,22935.64
Legal Services,Civil Litigation,Civil Litigation,Equipment,300A,Expenses,10439.81
Legal Services,Civil Litigation,Civil Litigation,Inter-Divisional Recoveries,750A,Revenues,-5391940.0
Legal Services,Civil Litigation,Civil Litigation,Materials & Supplies,200A,Expenses,91827.3
Legal Services,Civil Litigation,Civil Litigation,Salaries And Benefits,100A,Expenses,13129692.85
Legal Services,Civil Litigation,Civil Litigation,Service And Rent,400A,Expenses,630423.42
Legal Services,Prosecution,Prosecution,Contribution To Reserves/Reserve Funds,510A,Expenses,22935.64
Legal Services,Prosecution,Prosecution,Equipment,300A,Expenses,14356.32
Legal Services,Prosecution,Prosecution,Inter-Divisional Charges,700A,Expenses,6685200.0
Legal Services,Prosecution,Prosecution,Inter-Divisional Recoveries,750A,Revenues,-13842690.64
Legal Services,Prosecution,Prosecution,Materials & Supplies,200A,Expenses,109571.21
Legal Services,Prosecution,Prosecution,Salaries And Benefits,100A,Expenses,9042164.56
Legal Services,Prosecution,Prosecution,Service And Rent,400A,Expenses,184288.76
Legal Services,Solicitor,Solicitor,Contribution From Reserves/Reserve Funds,930A,Revenues,-201246.0
Legal Services,Solicitor,Solicitor,Contribution To Reserves/Reserve Funds,510A,Expenses,23630.59
Legal Services,Solicitor,Solicitor,Equipment,300A,Expenses,38762.2
Legal Services,Solicitor,Solicitor,Inter-Divisional Charges,700A,Expenses,53000.0
Legal Services,Solicitor,Solicitor,Inter-Divisional Recoveries,750A,Revenues,-3035945.0
Legal Services,Solicitor,Solicitor,Materials & Supplies,200A,Expenses,240612.25
Legal Services,Solicitor,Solicitor,Salaries And Benefits,100A,Expenses,19333617.9
Legal Services,Solicitor,Solicitor,Service And Rent,400A,Expenses,595890.99
Legal Services,Solicitor,Solicitor,Sundry and Other Revenues,940A,Revenues,-3408314.0
Legal Services,Solicitor,Solicitor,Transfers From Capital,920A,Revenues,-1322621.0
Legal Services,Solicitor,Solicitor,User Fees & Donations,850A,Revenues,-2529571.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Materials & Supplies,200A,Expenses,9700.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Other Expenditures,650A,Expenses,138600.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Provincial Subsidies,805A,Revenues,-1374900.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Salaries And Benefits,100A,Expenses,1202902.01
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Service And Rent,400A,Expenses,236664.56
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,User Fees & Donations,850A,Revenues,-213000.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Inter-Divisional Charges,700A,Expenses,11000.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Materials & Supplies,200A,Expenses,3500.0
